AGAINST_TEAM,PLAYER1_SCORES,PLAYER2_SCORES,PLAYER3_SCORES,PREDICTED_W_L,ACTUAL_W_L
against,dwayne wade,luol deng,mario chalmers,-----,-----
TOR,19.4561328159711,10.2204210677589,8.73422850335891,L
BOS,16.8286928704718,11.4054465761299,8.34051846389472,L
BKN,14.2012529249726,12.590472084501,7.94680842443052,W
PHI,12.6247889576731,13.3014873895236,7.71058240075201,W
NYK,17.6169248541216,11.0499389236186,8.45863147573398,L
CLE,19.1933888214212,10.338923618596,8.69485749941249,L
CHI,16.0404608868221,11.7609542286412,8.22240545205546,L
MIL,15.7777168922721,11.8794567794783,8.18303444810904,L
IND,18.1424128432215,10.8129338219444,8.53737348362682,L
DET,17.0914368650218,11.2869440252928,8.37988946784114,L
ATL,18.6679008323213,10.5759287202702,8.61611549151965,L
WAS,14.7267409140725,12.3534669828268,8.02555043232336,W
CHA,17.8796688486715,10.9314363727815,8.4980024796804,L
ORL,15.5149728977222,11.9979593303154,8.14366344416262,L
POR,14.9894849086224,12.2349644319897,8.06492143626978,W
OKC,16.303204881372,11.6424516778041,8.26177645600188,L
UTA,19.718876810521,10.1019185169218,8.77359950730533,L
DEN,14.4639969195225,12.4719695336639,7.98617942837694,W
MIN,14.2012529249726,12.590472084501,7.94680842443052,W
GSW,15.2522289031723,12.1164618811525,8.1042924402162,L
LAC,18.4051568377714,10.6944312711073,8.57674448757323,L
PHX,12.887532952223,13.1829848386865,7.74995340469843,W
SAC,12.3620449631231,13.4199899403607,7.67121139680559,W
LAL,13.1502769467729,13.0644822878494,7.78932440864485,W
HOU,13.6757649358728,12.8274771861752,7.86806641653769,W
SAS,19.9816208050709,9.98341596608464,8.81297051125175,L
MEM,17.3541808595717,11.1684414744557,8.41926047178756,L
DAL,16.5659488759219,11.523949126967,8.3011474599483,L
NOP,13.4130209413228,12.9459797370123,7.82869541259127,W
against,gordon hayward,derrick favors,trey burke,-----,-----
TOR,13.6921265612264,12.5374187418271,9.31877400635965,L
BOS,15.0294502671683,13.6445995653687,11.6122486264991,L
BKN,16.3667739731103,14.7517803889103,13.9057232466386,W
PHI,17.1691681966754,15.4160888830353,15.2818080187222,W
NYK,14.6282531553858,13.3124453183063,10.9242062404573,L
CLE,13.8258589318206,12.6481368241813,9.54812146837359,L
CHI,15.4306473789509,13.9767538124312,12.3002910125409,W
MIL,15.5643797495451,14.0874718947854,12.5296384745549,W
IND,14.3607884141974,13.0910091535979,10.4655113164294,L
DET,14.8957178965742,13.5338814830146,11.3829011644852,L
ATL,14.093323673009,12.8695729888896,10.0068163924015,L
WAS,16.0993092319219,14.530344224202,13.4470283226107,W
MIA,13.9595913024148,12.7588549065355,9.77746893038754,L
CHA,14.4945207847916,13.2017272359521,10.6948587784433,L
ORL,15.6981121201393,14.1981899771395,12.7589859365688,W
POR,15.9655768613277,14.4196261418478,13.2176808605967,W
OKC,15.2969150083567,13.866035730077,12.070943550527,L
DEN,16.2330416025161,14.6410623065562,13.6763757846246,W
MIN,16.3667739731103,14.7517803889103,13.9057232466386,W
GSW,15.8318444907335,14.3089080594937,12.9883333985828,W
LAC,14.2270560436032,12.9802910712438,10.2361638544154,L
PHX,17.0354358260812,15.3053708006811,15.0524605567083,W
SAC,17.3029005672696,15.5268069653894,15.5111554807362,W
LAL,16.901703455487,15.194652718327,14.8231130946943,W
HOU,16.6342387142987,14.9732165536186,14.3644181706665,W
SAS,13.424661820038,12.3159825771188,8.86007908233175,L
MEM,14.76198552598,13.4231634006604,11.1535537024712,L
DAL,15.1631826377625,13.7553176477229,11.8415960885131,L
NOP,16.7679710848928,15.0839346359728,14.5937656326804,W
against,kobe bryant,jordan hill,ed davis,-----,-----
TOR,14.6971007528432,11.9395810210877,7.85525692115935,L
BOS,16.8226814031716,11.2143451720311,7.82014641082808,L
BKN,18.9482620534999,10.4891093229745,7.78503590049681,W
PHI,20.2236104436969,10.0539678135405,7.76396959429805,W
NYK,16.185007208073,11.4319159267481,7.83067956392746,L
CLE,14.909658817876,11.867057436182,7.85174587012622,L
CHI,17.4603555982701,10.9967744173141,7.8096132577287,L
MIL,17.6729136633029,10.9242508324084,7.80610220669557,L
IND,15.7598910780074,11.5769630965594,7.83770166599372,L
DET,16.6101233381387,11.2868687569367,7.82365746186121,L
ATL,15.3347749479417,11.7220102663707,7.84472376805997,L
WAS,18.5231459234342,10.6341564927858,7.79205800256307,W
MIA,15.1222168829089,11.7945338512764,7.8482348190931,L
CHA,15.9724491430402,11.5044395116537,7.83419061496059,L
ORL,17.8854717283357,10.8517272475028,7.80259115566245,L
POR,18.3105878584014,10.7066800776915,7.79556905359619,L
OKC,17.2477975332372,11.0692980022198,7.81312430876183,L
UTA,14.4845426878103,12.0121046059933,7.85876797219248,L
DEN,18.7357039884671,10.5616329078801,7.78854695152994,W
MIN,18.9482620534999,10.4891093229745,7.78503590049681,W
GSW,18.0980297933686,10.7792036625971,7.79908010462932,L
LAC,15.5473330129745,11.649486681465,7.84121271702684,L
PHX,20.0110523786641,10.1264913984462,7.76748064533118,W
SAC,20.4361685087298,9.98144422863485,7.76045854326493,W
HOU,19.3733781835656,10.3440621531632,7.77801379843056,W
SAS,14.2719846227775,12.084628190899,7.8622790232256,L
MEM,16.3975652731059,11.3593923418424,7.82716851289434,L
DAL,17.0352394682044,11.1418215871254,7.81663535979495,L
NOP,19.5859362485984,10.2715385682575,7.77450274739743,W
against,klay thompson,draymond green,stephen curry,-----,-----
TOR,19.587655191702,11.2861349175044,20.221096345515,W
